price,name,image,url,description,brand,rating,rating_count,rating_best,categories,health_consideration,animal_type,animal_lifestage,animal_size,size_value,size_unit,size_merged
10.99,Omega&amp;trade; One Frozen Super Carnivore Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5211443,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-frozen-super-carnivore-fish-food-5211443.html,Omega&amp;trade; One Frozen Super Carnivore Fish Food,Omega One,4.5,22,5,Food &amp; Care|Food|,,fish,,,3.5,Oz,3.5 Oz
32.99,TetroPro&amp;trade; Goldfish Crisps Fish Food Flakes,https://s7d2.scene7.com/is/image/PetSmart/5267232,https://www.petsmart.ca/fish/food-and-care/food/tetroproandtrade-goldfish-crisps-fish-food-flakes-5267232.html,TetroPro&amp;trade; Goldfish Crisps Fish Food Flakes,Tetra,4.55,20,5,Food &amp; Care|Food|,,fish,,,7.9,Oz,7.9 Oz
10.99,GloFish® Special Flake Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5211437,https://www.petsmart.ca/fish/food-and-care/food/glofish-special-flake-fish-food-5211437.html,GloFish&reg; Special Flake Fish Food,GloFish,3.4865,37,5,Food &amp; Care|Food|,,fish,,,1.59,Oz,1.59 Oz
7.99,Tetra Goldfish Worm Shaped Bits,https://s7d2.scene7.com/is/image/PetSmart/5338225,https://www.petsmart.ca/fish/food-and-care/food/tetra-goldfish-worm-shaped-bits-5338225.html,Tetra Goldfish Worm Shaped Bits,Tetra,,0,5,Food &amp; Care|Food|,,fish,,,2.46,Oz,2.46 Oz
8.99,GloFish® Betta Mini Pellets,https://s7d2.scene7.com/is/image/PetSmart/5318201,https://www.petsmart.ca/fish/food-and-care/food/glofish-betta-mini-pellets-5318201.html,GloFish&reg; Betta Mini Pellets,GloFish,,0,5,Food &amp; Care|Food|,,fish,,,0.14,Oz,0.14 Oz
7.99,Fluval Bug Bites Betta Food,https://s7d2.scene7.com/is/image/PetSmart/5293418,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-betta-food-5293418.html,Fluval Bug Bites Betta Food,Fluval,4.3333,9,5,Food &amp; Care|Food|,,fish,,,30.0,g,30 g
13.99,Nutrafin Max Goldfish Flakes Fish Food - 77g,https://s7d2.scene7.com/is/image/PetSmart/5341745,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-max-goldfish-flakes-fish-food---77g-5341745.html,Nutrafin Max Goldfish Flakes Fish Food - 77g,Nutrafin,,0,5,Food &amp; Care|Food|,,fish,,,77.0,g,77 g
11.99,"San Francisco Bay Frozen Mysis Shrimp Frozen Fish Food - Natural, 3.5 oz",https://s7d2.scene7.com/is/image/PetSmart/5336422,https://www.petsmart.ca/fish/food-and-care/food/san-francisco-bay-frozen-mysis-shrimp-frozen-fish-food---natural-3.5-oz-5336422.html,"San Francisco Bay Frozen Mysis Shrimp Frozen Fish Food - Natural, 3.5 oz",San Francisco Bay,5.0,2,5,Food &amp; Care|Food|,,fish,,,3.5,Oz,3.5 Oz
23.99,San Francisco Bay Brand® Sally&#x27;s Frozen Krill&amp;trade; Fish Food,https://s7d2.scene7.com/is/image/PetSmart/1031422,https://www.petsmart.ca/fish/food-and-care/food/san-francisco-bay-brand-sallys-frozen-krillandtrade-fish-food-1031422.html,San Francisco Bay Brand&reg; Sally's Frozen Krill&amp;trade; Fish Food,San Francisco Bay,5.0,4,5,Food &amp; Care|Food|,,fish,,,,,One Size
6.36,Top Fin® Algae Thins® Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5049921,https://www.petsmart.ca/fish/food-and-care/food/top-fin-algae-thins-fish-food-5049921.html,Top Fin&reg; Algae Thins&reg; Fish Food,Top Fin,4.3909,110,5,Food &amp; Care|Food|,,fish,,,1.5,Oz,1.5 Oz
10.19,Top Fin® Tropical Fish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5048230,https://www.petsmart.ca/fish/food-and-care/food/top-fin-tropical-fish-flakes-5048230.html,Top Fin&reg; Tropical Fish Flakes,Top Fin,4.4607,89,5,Food &amp; Care|Food|,,fish,,,2.15,Oz,2.15 Oz
11.99,Omega&amp;trade;One Frozen Brine Shrimp Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5230222,https://www.petsmart.ca/fish/food-and-care/food/omegaandtradeone-frozen-brine-shrimp-fish-food-5230222.html,Omega&amp;trade;One Frozen Brine Shrimp Fish Food,Omega One,4.4333,30,5,Food &amp; Care|Food|,,fish,,,4.0,Oz,4 Oz
6.99,Aqueon® Betta Pellets Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5141667,https://www.petsmart.ca/fish/food-and-care/food/aqueon-betta-pellets-fish-food-5141667.html,Aqueon&reg; Betta Pellets Fish Food,Aqueon,3.2769,65,5,Food &amp; Care|Food|,,fish,,,0.95,Oz,0.95 Oz
19.99,Nutrafin® Goldfish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5139983,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-goldfish-flakes-5139983.html,Nutrafin&reg; Goldfish Flakes,Nutrafin,5.0,1,5,Food &amp; Care|Food|,,fish,,,7.58,Oz,7.58 Oz
29.99,Nutrafin® Max Tropical Fish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5139982,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-max-tropical-fish-flakes-5139982.html,Nutrafin&reg; Max Tropical Fish Flakes,Nutrafin,4.6667,3,5,Food &amp; Care|Food|,,fish,,,7.58,Oz,7.58 Oz
25.99,Omega&amp;trade; One Cichlid Fish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5087740,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-cichlid-fish-flakes-5087740.html,Omega&amp;trade; One Cichlid Fish Flakes,Omega One,3.24,25,5,Food &amp; Care|Food|,,fish,,,5.3,Oz,5.3 Oz
11.49,San Francisco Bay Brand® Sally&#x27;s Frozen Spirulina Brine Shrimp&amp;trade; Frozen Fish Food,https://s7d2.scene7.com/is/image/PetSmart/1031647,https://www.petsmart.ca/fish/food-and-care/food/san-francisco-bay-brand-sallys-frozen-spirulina-brine-shrimpandtrade-frozen-fish-food-1031647.html,San Francisco Bay Brand&reg; Sally's Frozen Spirulina Brine Shrimp&amp;trade; Frozen Fish Food,San Francisco Bay,4.6429,14,5,Food &amp; Care|Food|,,fish,,,3.5,Oz,3.5 Oz
8.49,Top Fin® 2-in-1 Color Mix - Tropical Color Flakes + Shrimp Treat,https://s7d2.scene7.com/is/image/PetSmart/5325448,https://www.petsmart.ca/fish/food-and-care/food/top-fin-2-in-1-color-mix---tropical-color-flakes-%2B-shrimp-treat-5325448.html,Top Fin&reg; 2-in-1 Color Mix - Tropical Color Flakes + Shrimp Treat,Top Fin,4.8529,34,5,Food &amp; Care|Food|,,fish,,,,,One Size
23.99,Nutrafin® basix Staple Food for Tropical Fish,https://s7d2.scene7.com/is/image/PetSmart/1031654,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-basix-staple-food-for-tropical-fish-1031654.html,Nutrafin&reg; basix Staple Food for Tropical Fish,Nutrafin,4.1667,6,5,Food &amp; Care|Food|,,fish,,,16.0,Oz,16 Oz
11.99,Fluval® Bug Bites Color Enhancing Flakes,https://s7d2.scene7.com/is/image/PetSmart/5300334,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-color-enhancing-flakes-5300334.html,Fluval&reg; Bug Bites Color Enhancing Flakes,Fluval,4.5,12,5,Food &amp; Care|Food|,,fish,,,1.59,Oz,1.59 Oz
9.99,Cobalt Tropical Granular Premium Sinking Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5338011,https://www.petsmart.ca/fish/food-and-care/food/cobalt-tropical-granular-premium-sinking-fish-food-5338011.html,Cobalt Tropical Granular Premium Sinking Fish Food,Cobalt,,0,5,Food &amp; Care|Food|,,fish,,,2.7,Oz,2.7 Oz
9.99,Omega One&amp;trade; Garlic Marine Flakes,https://s7d2.scene7.com/is/image/PetSmart/5324377,https://www.petsmart.ca/fish/food-and-care/food/omega-oneandtrade-garlic-marine-flakes-5324377.html,Omega One&amp;trade; Garlic Marine Flakes,Omega One,5.0,1,5,Food &amp; Care|Food|,,fish,,,1.0,Oz,1 Oz
9.99,San Francisco Bay Brand® Sally&#x27;s Frozen mini-Bloodworms&amp;trade; Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5135567,https://www.petsmart.ca/fish/food-and-care/food/san-francisco-bay-brand-sallys-frozen-mini-bloodwormsandtrade-fish-food-5135567.html,San Francisco Bay Brand&reg; Sally's Frozen mini-Bloodworms&amp;trade; Fish Food,San Francisco Bay,4.1667,6,5,Food &amp; Care|Food|,,fish,,,,,One Size
11.99,Fluval® Bug Bites Spirulina Flakes,https://s7d2.scene7.com/is/image/PetSmart/5300528,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-spirulina-flakes-5300528.html,Fluval&reg; Bug Bites Spirulina Flakes,Fluval,4.8571,14,5,Food &amp; Care|Food|,,fish,,,1.59,Oz,1.59 Oz
8.99,Omega&amp;trade; One Frozen Brine Shrimp Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5210840,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-frozen-brine-shrimp-fish-food-5210840.html,Omega&amp;trade; One Frozen Brine Shrimp Fish Food,Omega One,4.6571,35,5,Food &amp; Care|Food|,,fish,,,3.5,Oz,3.5 Oz
11.99,Omega&amp;trade;One Frozen Bloodworms,https://s7d2.scene7.com/is/image/PetSmart/5210921,https://www.petsmart.ca/fish/food-and-care/food/omegaandtradeone-frozen-bloodworms-5210921.html,Omega&amp;trade;One Frozen Bloodworms,Omega One,4.5517,58,5,Food &amp; Care|Food|,,fish,,,3.5,Oz,3.5 Oz
12.99,Omega&amp;trade; One Shrimp Pellets Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5080565,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-shrimp-pellets-fish-food-5080565.html,Omega&amp;trade; One Shrimp Pellets Fish Food,Omega One,3.5667,30,5,Food &amp; Care|Food|,,fish,,,4.5,Oz,4.5 Oz
19.99,Tetra® TetraColor Tropical Fish Flakes,https://s7d2.scene7.com/is/image/PetSmart/1031322,https://www.petsmart.ca/fish/food-and-care/food/tetra-tetracolor-tropical-fish-flakes-1031322.html,Tetra&reg; TetraColor Tropical Fish Flakes,Tetra,4.4746,59,5,Food &amp; Care|Food|,,fish,,,2.2,Oz,2.2 Oz
16.99,API® Goldfish Premium Pellets Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5164000,https://www.petsmart.ca/fish/food-and-care/food/api-goldfish-premium-pellets-fish-food-5164000.html,API&reg; Goldfish Premium Pellets Fish Food,API,3.0,11,5,Food &amp; Care|Food|,,fish,,,7.0,Oz,7 Oz
9.99,API® Tropical Community Fish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5163999,https://www.petsmart.ca/fish/food-and-care/food/api-tropical-community-fish-flakes-5163999.html,API&reg; Tropical Community Fish Flakes,API,3.9118,34,5,Food &amp; Care|Food|,,fish,,,1.1,Oz,1.1 Oz
11.04,Top Fin Chichlid Pellets,https://s7d2.scene7.com/is/image/PetSmart/5310885,https://www.petsmart.ca/fish/food-and-care/food/top-fin-chichlid-pellets-5310885.html,Top Fin Chichlid Pellets,Top Fin,4.1522,46,5,Food &amp; Care|Food|,,fish,,,5.9,Oz,5.9 Oz
15.99,Fluval Bug Bites - Tropical Fish Food.,https://s7d2.scene7.com/is/image/PetSmart/5349869,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites---tropical-fish-food.-5349869.html,Fluval Bug Bites - Tropical Fish Food.,Fluval,,0,5,Food &amp; Care|Food|,,fish,,,4.4,Oz,4.4 Oz
10.99,Omega&amp;trade; One Freeze Dried Shrimp Fish Treat,https://s7d2.scene7.com/is/image/PetSmart/5094367,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-freeze-dried-shrimp-fish-treat-5094367.html,Omega&amp;trade; One Freeze Dried Shrimp Fish Treat,Omega One,4.4545,11,5,Food &amp; Care|Food|,,fish,,,0.92,Oz,0.92 Oz
15.99,TetraPro&amp;trade; Tropical Color Crisps Fish Food Flakes,https://s7d2.scene7.com/is/image/PetSmart/5267231,https://www.petsmart.ca/fish/food-and-care/food/tetraproandtrade-tropical-color-crisps-fish-food-flakes-5267231.html,TetraPro&amp;trade; Tropical Color Crisps Fish Food Flakes,Tetra,4.1714,35,5,Food &amp; Care|Food|,,fish,,,2.65,Oz,2.65 Oz
9.99,Cobalt&amp;trade; Aquatics Chichlid Flakes,https://s7d2.scene7.com/is/image/PetSmart/5332346,https://www.petsmart.ca/fish/food-and-care/food/cobaltandtrade-aquatics-chichlid-flakes-5332346.html,Cobalt&amp;trade; Aquatics Chichlid Flakes,Cobalt,5.0,1,5,Food &amp; Care|Food|,,fish,,,1.0,Oz,1 Oz
11.99,Fluval® Bug Bites Tropical Flakes,https://s7d2.scene7.com/is/image/PetSmart/5300530,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites-tropical-flakes-5300530.html,Fluval&reg; Bug Bites Tropical Flakes,Fluval,4.9167,12,5,Food &amp; Care|Food|,,fish,,,1.59,Oz,1.59 Oz
9.99,Cobalt Guppy Granular Premium Sinking Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5338010,https://www.petsmart.ca/fish/food-and-care/food/cobalt-guppy-granular-premium-sinking-fish-food-5338010.html,Cobalt Guppy Granular Premium Sinking Fish Food,Cobalt,5.0,1,5,Food &amp; Care|Food|,,fish,,,2.9,Oz,2.9 Oz
24.99,Omega&amp;trade; One Garlic Marine Flake Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5225040,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-garlic-marine-flake-fish-food-5225040.html,Omega&amp;trade; One Garlic Marine Flake Fish Food,Omega One,5.0,3,5,Food &amp; Care|Food|,,fish,,,5.3,Oz,5.3 Oz
18.99,Fluval Bug Bites - Fish Food.,https://s7d2.scene7.com/is/image/PetSmart/5349870,https://www.petsmart.ca/fish/food-and-care/food/fluval-bug-bites---fish-food.-5349870.html,Fluval Bug Bites - Fish Food.,Fluval,,0,5,Food &amp; Care|Food|,,fish,,,3.5,Oz,3.5 Oz
7.99,Cobalt&amp;trade; Betta Pellet Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5332347,https://www.petsmart.ca/fish/food-and-care/food/cobaltandtrade-betta-pellet-fish-food-5332347.html,Cobalt&amp;trade; Betta Pellet Fish Food,Cobalt,3.0,5,5,Food &amp; Care|Food|,,fish,,,1.2,Oz,1.2 Oz
9.99,Cobalt&amp;trade; Algae Grazers Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5332348,https://www.petsmart.ca/fish/food-and-care/food/cobaltandtrade-algae-grazers-fish-food-5332348.html,Cobalt&amp;trade; Algae Grazers Fish Food,Cobalt,5.0,1,5,Food &amp; Care|Food|,,fish,,,2.3,Oz,2.3 Oz
19.99,Nutrafin Max Tropical Fish Flakes - 180g/6oz,https://s7d2.scene7.com/is/image/PetSmart/5337211,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-max-tropical-fish-flakes---180g%2F6oz-5337211.html,Nutrafin Max Tropical Fish Flakes - 180g/6oz,Nutrafin,5.0,1,5,Food &amp; Care|Food|,,fish,,,6.0,Oz,6 Oz
24.99,Tetra® TetraColor Tropical Flakes Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5301141,https://www.petsmart.ca/fish/food-and-care/food/tetra-tetracolor-tropical-flakes-fish-food-5301141.html,Tetra&reg; TetraColor Tropical Flakes Fish Food,Tetra,5.0,1,5,Food &amp; Care|Food|,,fish,,,7.06,Oz,7.06 Oz
10.99,Omega&amp;trade; One Freeze Dried Brine Shrimp,https://s7d2.scene7.com/is/image/PetSmart/5300534,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-freeze-dried-brine-shrimp-5300534.html,Omega&amp;trade; One Freeze Dried Brine Shrimp,Omega One,4.4242,33,5,Food &amp; Care|Food|,,fish,,,0.67,Oz,0.67 Oz
13.99,API® Tropical Mini Pellets,https://s7d2.scene7.com/is/image/PetSmart/5175044,https://www.petsmart.ca/fish/food-and-care/food/api-tropical-mini-pellets-5175044.html,API&reg; Tropical Mini Pellets,API,3.5,10,5,Food &amp; Care|Food|,,fish,,,,,One Size
29.99,Omega&amp;trade; One Cichilid Super Color Pellets Fish Food,https://s7d2.scene7.com/is/image/PetSmart/5155704,https://www.petsmart.ca/fish/food-and-care/food/omegaandtrade-one-cichilid-super-color-pellets-fish-food-5155704.html,Omega&amp;trade; One Cichilid Super Color Pellets Fish Food,Omega One,3.9615,26,5,Food &amp; Care|Food|,,fish,,,16.25,Oz,16.25 Oz
11.99,Nutrafin® Max Tropical Fish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5139977,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-max-tropical-fish-flakes-5139977.html,Nutrafin&reg; Max Tropical Fish Flakes,Nutrafin,,0,5,Food &amp; Care|Food|,,fish,,,1.34,Oz,1.34 Oz
7.64,Top Fin® Goldfish Flakes,https://s7d2.scene7.com/is/image/PetSmart/5048220,https://www.petsmart.ca/fish/food-and-care/food/top-fin-goldfish-flakes-5048220.html,Top Fin&reg; Goldfish Flakes,Top Fin,4.3051,59,5,Food &amp; Care|Food|,,fish,,,2.15,Oz,2.15 Oz
8.49,Top Fin® 2-in-1 Color Mix - Tropical Color Flakes + Daphnia Treat,https://s7d2.scene7.com/is/image/PetSmart/5325450,https://www.petsmart.ca/fish/food-and-care/food/top-fin-2-in-1-color-mix---tropical-color-flakes-%2B-daphnia-treat-5325450.html,Top Fin&reg; 2-in-1 Color Mix - Tropical Color Flakes + Daphnia Treat,Top Fin,4.7436,39,5,Food &amp; Care|Food|,,fish,,,2.01,Oz,2.01 Oz
7.99,Nutrafin® basix Floating Goldfish Pellets,https://s7d2.scene7.com/is/image/PetSmart/1031545,https://www.petsmart.ca/fish/food-and-care/food/nutrafin-basix-floating-goldfish-pellets-1031545.html,Nutrafin&reg; basix Floating Goldfish Pellets,Nutrafin,5.0,1,5,Food &amp; Care|Food|,,fish,,,3.0,Oz,3 Oz
